DrugBank ID,Name_Synonyms
DB00030,"['insulin human', 'high molecular weight insulin human', 'human insulin', 'human insulin (rdna)', 'insulin (human)', 'insulin human [rdna origin]', 'insulin human regular', 'insulin human regular (rdna)', 'insulin human, rdna origin', 'insulin recombinant human', 'insulin recombinant purified human', 'insulin regular', 'insulin, human', 'insulina regular', 'regular insulin, human']"
DB00031,"['tenecteplase', 'tenecteplasa', 'tnk-tpa']"
DB00032,"['menotropins', 'human menopausal gonadotrophin', 'menotrophin', 'menotropin', 'menotropina', 'menotropins (fsh;lh)']"
DB00033,"['interferon gamma-1b', 'ifn-gamma-1b', 'interferon gamma-1b, recombinant', 'interferon gamma-2a']"
DB00034,"['interferon alfa-2a, recombinant', 'interferon alfa-2a', 'interferon alfa-2a (recombinant)', 'interferon alfa-2a, recombinant', 'interferon alfa-2a,recombinant', 'interferon alpha-2a', 'interferon-alfa-2a', 'recombinant human interferon alfa-2a', 'recombinant human interferon-alfa-2a', 'rifn-alpha-2a', 'sh-polypeptide-46']"
DB00035,"['desmopressin', '1-(3-mercaptopropionic acid)-8-d-arginine-vasopressin', '1-deamino-8-d-arginine vasopressin', '1-desamino-8-d-arginine vasopressin', 'ddavp', 'desmopresina', 'desmopressin', 'desmopressine', 'desmopressinum']"
DB00036,"['coagulation factor viia recombinant human', 'coagulation factor viia', 'coagulation factor viia (recombinant)', 'eptacog alfa', 'eptacog alfa (activated)', 'rfviia']"
DB00038,"['oprelvekin', 'il-11', 'interleukin 11', 'interleukin-11', 'oprelvekin', 'recombinant interleukin-11']"
DB00039,"['palifermin', '24-163 fibroblast growth factor 7 (human)', 'palifermina']"
DB00040,"['glucagon', 'glucagon', 'glucagon (recombinant dna origin)', 'glucagon recombinant', 'glucagon, human', 'glucagon, porcine', 'glucagone', 'glucagonum']"
DB00041,"['aldesleukin', '125-l-serine-2-133-interleukin 2 (human reduced)', 'aldesleukina', 'interleukin-2 aldesleukin', 'interleukin-2(2-133),125-ser', 'recombinant interleukin-2 human']"
DB00042,"['botulinum toxin type b', 'botulin b', 'botulinum b toxin', 'botulinum neurotoxin type b precursor', 'btx-b', 'rimabotulinumtoxinb', 'toxina botulínica b']"
DB00043,['nan']
DB00044,"['lutropin alfa', 'lutropin alfa', 'lutropin alpha', 'lutropina alfa']"
DB00045,"['lyme disease vaccine (recombinant ospa)', 'lipoprotein ospa antigen recombinant', 'lipoprotein outer surface a borrelia burgdorferi antigen', 'ospa lipoprotein']"
DB00046,"['insulin lispro', 'insulin lispro (genetical recombination)', 'insulin lispro (rdna origin)', 'insulin lispro protamine', 'insulin lispro protamine recombinant', 'insulin lispro recombinant', 'insulin,lispro,human/rdna', 'insulin,lispro,protamine/rdna', 'insulina lispro']"
DB00047,"['insulin glargine', 'insulin glargine', 'insulin glargine (rdna origin)', 'insulin glargine recombinant', 'insulina glargina']"
DB00048,"['collagenase clostridium histolyticum', 'clostridium histolyticum enzymes', 'collagenase']"
DB00049,"['rasburicase', 'rasburicasa', 'rasburicase', 'urate oxidase']"
DB00050,"['cetrorelix', 'cetrorelix', 'cetrorelixum']"
DB00051,"['adalimumab', 'adalimumab (genetical recombination)', 'adalimumab-adaz', 'adalimumab-adbm', 'adalimumab-atto']"
DB00052,"['somatotropin', 'growth hormone', 'growth hormone (human)', 'hgh', 'human growth hormone', 'recombinant human growth hormone', 'rhgh', 'somatotropin (human)', 'somatotropin human', 'somatotropin human growth hormone', 'somatropin', 'somatropin (rdna origin)', 'somatropin (recombinant dna origin)', 'somatropin [rdna origin]', 'somatropin recombinant', 'somatropin(recombinant dna origin)', 'somatropina']"
DB00053,"['imiglucerase', 'imiglucerasa']"
DB00054,"['abciximab', 'abciximab', 'abciximab (genetical recombination)', 'c7e3']"
DB00055,"['drotrecogin alfa', 'activated protein c', 'blood coagulation factor xiv (human)', 'drotrecogin alfa (activated)', 'drotrecogin alfa (activated), lyophilized', 'drotrecogin alfa activated', 'drotrecogin alfa, activated', 'drotrecogin-alfa', 'recombinant human activated protein c (rh-apc)']"
DB00056,['nan']
DB00057,"['indium in-111 satumomab pendetide', 'indium (111in) satumomab pendetide', 'indium in 111 satumomab pendetide', 'indium-111 satumomab pendetide']"
DB00058,"['alpha-1-proteinase inhibitor', 'alfa-1-antitripsina', 'alfa1 antitrypsin', 'alpha 1-antitrypsin', 'alpha 1-proteinase inhibitor', 'alpha 1-proteinase inhibitor (human)', 'alpha 1-proteinase inhibitor, human', 'alpha-1 protease inhibitor', 'alpha-1 proteinase inhibitor (human)', 'alpha-1-antiproteinase', 'alpha-1-antitrypsin', 'alpha-1-proteinase inhibitor (human)', 'alpha-1-proteinase inhibitor human', 'alpha-1-proteinase inhibitor, human', 'alpha-1-proteinase inhibitor,human', 'alpha1-proteinase inhibitor', 'alpha1-proteinase inhibitor (human)', 'alpha1-proteinase inhibitor human', 'api']"
DB00059,"['pegaspargase', 'peg-asparaginase', 'peg/l-asparaginase', 'pegaspargasa']"
DB00060,"['interferon beta-1a', 'interferon beta 1-a', 'interferon beta 1a', 'interferon beta-1a (recombinant human)', 'interferon beta-1a,recombinant', 'interferon-beta-1a']"
DB00061,"['pegademase', '(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase', 'peg-adenosine deaminase', 'pegada', 'pegademase', 'pegademase bovine']"
DB00062,"['human serum albumin', 'albumin (human)', 'albumin human', 'albumin, blood', 'albumin, human', 'albumin, human-kjda', 'human albumin', 'serum albumin']"
DB00063,"['eptifibatide', 'eptifibatida', 'eptifibatide', 'integrelin', 'intrifiban']"
DB00065,"['infliximab', 'infliximab (genetical recombination)', 'infliximab-abda', 'infliximab-dyyb', 'infliximab-qbtx']"
DB00066,"['follitropin', 'folitropina alfa', 'folitropina beta', 'folitropina delta', 'follicle stimulating hormone', 'follitrophin alfa', 'follitrophin alpha', 'follitrophin beta', 'follitropin alfa', 'follitropin alfa/beta', 'follitropin alpha', 'follitropin beta', 'follitropin delta', 'follitropin gamma', 'follotropin recombinant', 'fsh', 'fsh alpha', 'fsh-a', 'fsh-b', 'fsh-beta', 'recombinant human follicle stimulating hormone beta', 'recombinant human follicle-stimulating hormone (r-hfsh)', 'rfsh-alpha']"
DB00067,"['vasopressin', 'vasopressin, unspecified', 'vasopressina']"
DB00068,"['interferon beta-1b', 'interferon beta 1b (recombinant)', 'interferon beta-1b,recombinant', 'interferon-beta-1b', 'recombinant interferon beta-1b']"
DB00069,"['interferon alfacon-1', 'ifn alfacon-1', 'ifn-con1', 'interferon alfacon-1']"
DB00070,"['hyaluronidase (ovine)', 'hyaluronidase (glycoprotein, sheep testis isoenzyme)', 'hyaluronidase (ovine)', 'hyaluronidase (sheep testis isoenzyme)', 'hyaluronidase, ovine', 'ovine hyaluronidase']"
DB00071,"['insulin pork', 'insulin (pork)', 'insulin porcine', 'insulin purified porcine', 'insulin purified pork', 'insulin, porcine', 'insulin, regular, pork', 'porcine insulin']"
DB00072,"['trastuzumab', 'rhumab her2', 'trastuzumab-dkst', 'trastuzumab-dttb', 'trastuzumab-pkrb', 'trastuzumab-qyyp']"
DB00073,"['rituximab', 'rituximab-abbs']"
DB00074,"['basiliximab', 'basiliximab']"
DB00075,"['muromonab', 'anti-cd3', 'muromonab-cd3']"
DB00076,"['digoxin immune fab (ovine)', 'digitalis antitoxin', 'digoxin immune fab, ovine', 'digoxin-specific antibody fragments', 'ovine digoxin immune fab']"
DB00078,"['ibritumomab tiuxetan', 'ibritumomab', 'mab murine (igg1) anti p19437 (cd20_mouse)']"
DB00080,"['daptomycin', 'daptomicina', 'daptomycin']"
DB00081,['nan']
DB00082,['nan']
DB00083,"['botulinum toxin type a', 'abobotulinumtoxina', 'botulinum a neurotoxin', 'botulinum toxin a', 'botulinum toxin type a', 'btx-a', 'evabotulinumtoxina', 'incobotulinumtoxina', 'onabotulinumtoxina', 'prabotulinumtoxin a', 'toxina botulínica a', 'toxine botulinique a']"
DB00085,"['pancrelipase', 'pancrealipase', 'pancreatic extract pancrelipase', 'pancreatic protease', 'pancreatin', 'pancreatinum', 'pancrelipase (amylase;lipase;protease)']"
DB00086,"['streptokinase', 'estreptoquinasa', 'streptochinasi', 'streptococcal fibrinolysin', 'streptokinase', 'streptokinasum']"
DB00087,['nan']
DB00088,['nan']
DB00089,"['capromab pendetide', '(111in)-capromab pendetide', 'indium (111in) capromab pendetide', 'indium 111 capromab pendetide', 'indium in 111 capromab pendetide']"
DB00090,"['laronidase', 'alpha-l-idosiduronase', 'human recombinant alpha-l-iduronidase', 'laronidasa', 'laronidase', 'laronidase (genetical recombination)']"
DB00091,"['ciclosporin', 'ciclosporin', 'ciclosporina', 'ciclosporine', 'ciclosporinum', 'csa', 'cya', 'cyclosporin', 'cyclosporin a', 'cyclosporine']"
DB00092,['nan']
DB00093,"['felypressin', '2-(l-phenylalanine)-8-l-lysinevasopressin', 'felipresina', 'felypressin', 'felypressine', 'felypressinum', 'plv-2']"
DB00094,"['urofollitropin', 'follitropin human', 'urofollitrophin']"
DB00095,"['efalizumab', 'anti-cd11a', 'anticd11 alpha', 'efalizumab']"
DB00097,"['choriogonadotropin alfa', 'choriogonadotropin alpha', 'chorionic gonadotropin (recombinant)']"
DB00098,"['antithymocyte immunoglobulin (rabbit)', 'anti-human thymocyte immunoglobulin, rabbit', 'anti-t-lymphocyte immune globulin, rabbit', 'anti-thymocyte globulin (rabbit)', 'anti-thymocyte globulin rabbit', 'antithymocyte immunoglobulin', 'lapine t-lymphocyte immune globulin', 'rabbit anti-human thymocyte globulin', 'rabbit anti-human thymocyte globulin (ratg)', 'rabbit anti-human thymocyte immunoglobulin', 'rabbit anti-thymocyte immunoglobulin', 'rabbit antithymocyte globulin', 'rabbit atg', 'ratg', 'thymoglobulin', 'thymoglobuline']"
DB00099,"['filgrastim', 'filgrastim-aafi', 'filgrastim-sndz', 'g-csf ', 'granulocyte colony stimulating factor ', 'tbo-filgrastim']"
DB00100,"['coagulation factor ix (recombinant)', 'coagulation factor ix (recombinant)', 'coagulation factor ix recombinant human', 'factor ix (recombinant)', 'nonacog alfa', 'nonacog gamma', 'recombinant factor ix']"
DB00102,"['becaplermin', 'becaplermin', 'pdgf-2', 'pdgf-bb', 'pdgfb', 'platelet-derived growth factor bb, recombinant', 'platelet-derived growth factor beta polypeptide', 'recombinant platelet-derived growth factor bb', 'rhpdgf-bb', 'rpdgf-bb', 'sh-polypeptide-59']"
DB00103,"['agalsidase beta', 'agalsidasa alfa', 'agalsidasa beta', 'agalsidase alfa', 'alpha-galactosidase a']"
DB00104,"['octreotide', 'octreotida', 'octreotide', 'octreotidum', 'octrotide']"
DB00105,"['interferon alfa-2b', 'interferon alfa-2b', 'interferon alfa-2b, recombinant', 'interferon alpha-2b', 'interferon α-2b', 'intron (interferon α2b)', 'intron a', 'intron a (interferon α2b)', 'r-inf-alpha', 'rifn-alpha-2b']"
DB00106,"['abarelix', 'abarelix']"
DB00107,"['oxytocin', 'oxitocina', 'oxytocin']"
DB00108,"['natalizumab', 'anti-alpha4 integrin', 'anti-vla4']"
DB00109,"['enfuvirtide', 'enfuvirtida']"
DB00110,"['palivizumab', 'palivizumab']"
DB00111,"['daclizumab', 'dacliximab', 'daclizumab beta']"
DB00112,"['bevacizumab', 'anti-vegf humanized monoclonal antibody', 'anti-vegf monoclonal antibody', 'bevacizumab', 'bevacizumab-awwb', 'rhumab-vegf']"
DB00113,"['technetium tc-99m arcitumomab', 'arcitumomab technetium-99m', 'technetium (99mtc) arcitumomab', 'technetium tc 99m arcitumomab', 'technetium-99m arcitumomab']"
DB00114,"['pyridoxal phosphate', '3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde', '3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate', 'codecarboxylase', 'plp', 'pyridoxal 5-monophosphoric acid ester', 'pyridoxal 5-phosphate', ""pyridoxal 5'-phosphate"", 'pyridoxal p', 'pyridoxal phosphate anhydrous', 'pyridoxal-5p', 'pyridoxal-p']"
DB00115,"['cyanocobalamin', 'cianocobalamina', 'cyanocob(iii)alamin', 'cyanocobalamin', 'vitamin b12', 'vitamin b12 complex', 'vitamin b12 nos']"
DB00116,"['tetrahydrofolic acid', '5,6,7,8-tetrahydrofolate', '5,6,7,8-tetrahydrofolic acid', 'tetrahydrofolate']"
DB00117,"['histidine', '(s)-4-(2-amino-2-carboxyethyl)imidazole', '(s)-a-amino-1h-imidazole-4-propanoic acid', '(s)-alpha-amino-1h-imidazole-4-propanoic acid', '(s)-alpha-amino-1h-imidazole-4-propionic acid', '(s)-α-amino-1h-imidazole-4-propanoic acid', 'his', 'histidina', 'histidine', 'l-(−)-histidine', 'l-histidin', 'l-histidine']"
DB00118,"['ademetionine', 'adomet', 's-adenosylmethionine', 'sam', 'sam-e', 'same']"
DB00119,"['pyruvic acid', '2-ketopropionic acid', '2-oxopropanoic acid', '2-oxopropansäure', '2-oxopropionsäure', 'a-ketopropionic acid', 'acetylformic acid', 'acide pyruvique', 'alpha-ketopropionic acid', 'brenztraubensäure', 'bts', 'pyroracemic acid', 'α-ketopropionic acid', 'α-oxopropionsäure']"
DB00120,"['l-phenylalanine', '(s)-2-amino-3-phenylpropionic acid', '(s)-alpha-amino-beta-phenylpropionic acid', '3-phenyl-l-alanine', 'beta-phenyl-l-alanine', 'f', 'phe', 'phenylalanine', 'β-phenyl-l-alanine']"
DB00121,"['biotin', '(+)-cis-hexahydro-2-oxo-1h-thieno[3,4]imidazole-4-valeric acid', '(3as,4s,6ar)-hexahydro-2-oxo-1h-thieno[3,4-d]imidazole-4-valeric acid', '5-(2-oxohexahydro-1h-thieno[3,4-d]imidazol-4-yl)pentanoic acid', 'biotin', 'biotina', 'biotine', 'biotinum', 'cis-(+)-tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid', 'cis-hexahydro-2-oxo-1h-thieno(3,4)imidazole-4-valeric acid', 'cis-tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid', 'coenzyme r', 'd-(+)-biotin', 'd-biotin', 'vitamin b7', 'vitamin h']"
DB00122,"['choline', 'bilineurine', 'choline ion', 'n-trimethylethanolamine', 'n,n,n-trimethylethanol-ammonium', 'trimethylethanolamine', 'vitamin j']"
DB00123,"['l-lysine', '(s)-2,6-diaminohexanoic acid', '(s)-lysine', '(s)-α,ε-diaminocaproic acid', '6-ammonio-l-norleucine', 'l-2,6-diaminocaproic acid', 'l-lys', 'l-lysin', 'lys', 'lysina', 'lysine', 'lysine acid', 'lysinum']"
DB00125,"['l-arginine', '(2s)-2-amino-5-(carbamimidamido)pentanoic acid', '(2s)-2-amino-5-guanidinopentanoic acid', '(s)-2-amino-5-guanidinopentanoic acid', '(s)-2-amino-5-guanidinovaleric acid', 'arg', 'arginina', 'arginine', 'l-(+)-arginine', 'l-arg', 'l-arginin', 'r']"
DB00126,"['ascorbic acid', 'acide ascorbique', 'ácido ascórbico', 'acidum ascorbicum', 'acidum ascorbinicum', 'ascorbate', 'ascorbic acid', 'ascorbicap', 'ascorbinsäure', 'l-(+)-ascorbic acid', 'l-ascorbate', 'l-ascorbic acid', 'vitamin c', 'vitamina c']"
DB00127,"['spermine', '4,9-diaza-1,12-dodecanediamine', '4,9-diazadodecane-1,12-diamine', 'musculamine', ""n,n'-bis(3-aminopropyl)-1,4-butanediamine"", 'spermina', 'spermine']"
DB00128,"['l-aspartic acid', '(s)-2-aminobutanedioic acid', '(s)-2-aminosuccinic acid', '2-aminosuccinic acid', 'ácido aspártico', 'asp', 'aspartic acid', 'd', 'l-asp', 'l-asparaginsäure', 'l-aspartate']"
DB00129,"['ornithine', '(s)-2,5-diaminopentanoate', '(s)-2,5-diaminopentanoic acid', '(s)-2,5-diaminovaleric acid', '(s)-ornithine', '(s)-α,δ-diaminovaleric acid', 'l-ornithine', 'levo-ornithine', 'ornithine', 'ornithinum', 'ornitina']"
DB00130,"['l-glutamine', '(2s)-2-amino-4-carbamoylbutanoic acid', '(2s)-2,5-diamino-5-oxopentanoic acid', '(s)-2,5-diamino-5-oxopentanoic acid', 'glutamic acid 5-amide', 'glutamic acid amide', 'glutamina', 'glutamine', 'l-(+)-glutamine', 'l-2-aminoglutaramic acid', 'l-glutamic acid γ-amide', 'l-glutamin', 'l-glutaminsäure-5-amid', 'levoglutamide', 'q']"
DB00131,"['adenosine phosphate', ""5'-adenosine monophosphate"", ""5'-adenylic acid"", ""5'-amp"", ""5'-o-phosphonoadenosine"", ""adenosine 5'-(dihydrogen phosphate)"", ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", 'adenosine monophosphate', 'adenosine phosphate', ""adenosine-5'-monophosphate"", ""adenosine-5'-monophosphoric acid"", ""adenosine-5'p"", 'adenosini phosphas', 'adenylate', 'adenylic acid', ""ado5'p"", 'amp', 'fosfato de adenosina', 'pado', ""phosphate d'adénosine""]"
DB00132,"['alpha-linolenic acid', '(9,12,15)-linolenic acid', '(9z,12z,15z)-octadecatrienoic acid', '(z,z,z)-9,12,15-octadecatrienoic acid', '9-cis,12-cis,15-cis-octadecatrienoic acid', '9,12,15-octadecatrienoic acid', 'ala', 'all-cis-9,12,15-octadecatrienoic acid', 'alpha-linolenic acid', 'cis-delta(9,12,15)-octadecatrienoic acid', 'cis,cis,cis-9,12,15-octadecatrienoic acid', 'linolenic acid', 'α-linolenic acid']"
DB00133,"['serine', '(s)-2-amino-3-hydroxypropanoic acid', '(s)-serine', 'alpha-amino-beta-hydroxypropionic acid', 'beta-hydroxyalanine', 'l-serine', 'ser', 'serina', 'serine', 'serinum']"
DB00134,"['methionine', '(2s)-2-amino-4-(methylsulfanyl)butanoic acid', '(s)-2-amino-4-(methylthio)butanoic acid', '(s)-2-amino-4-(methylthio)butyric acid', '(s)-methionine', 'l-(−)-methionine', 'l-a-amino-g-methylthiobutyric acid', 'l-methionin', 'l-methionine', 'l-α-amino-γ-methylmercaptobutyric acid', 'm', 'met', 'methionine']"
DB00135,"['l-tyrosine', '(−)-α-amino-p-hydroxyhydrocinnamic acid', '(2s)-2-amino-3-(4-hydroxyphenyl)propanoic acid', '(s)-(-)-tyrosine', '(s)-2-amino-3-(p-hydroxyphenyl)propionic acid', '(s)-3-(p-hydroxyphenyl)alanine', '(s)-alpha-amino-4-hydroxybenzenepropanoic acid', '(s)-tyrosine', '(s)-α-amino-4-hydroxybenzenepropanoic acid', '4-hydroxy-l-phenylalanine', 'l-tyrosin', 'tyr', 'tyrosine', 'y']"
DB00136,"['calcitriol', '(1s,3r,5z,7e)-9,10-secocholesta-5,7,10-triene-1,3,25-triol', '(1α,3β,5z,7e)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol', '(5z,7e)-(1s,3r)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol', '1-alpha-25-dihydroxyvitamin d3', '1,25-dhcc', '1,25-dihydroxycholecalciferol', '1α,25-dihydroxycholecalciferol', '1α,25-dihydroxyvitamin d3', '1α,25(oh)2d3', 'calcitriol', 'calcitriolum']"
DB00137,"['lutein', 'xanthophyll', 'xantofyl']"
DB00138,"['cystine', ""(r,r)-3,3'-dithiobis(2-aminopropanoic acid)"", 'cistina', 'l-alpha-diamino-beta-dithiolactic acid', 'l-cystine', 'l-dicysteine', ""β,β'-dithiodialanine""]"
DB00139,"['succinic acid', '1,2-ethanedicarboxylic acid', 'acide butanedioïque', 'acide succinique', 'acidum succinicum', 'amber acid', 'asuccin', 'bernsteinsäure', 'butandisäure', 'butanedioic acid', 'butanedionic acid', 'dihydrofumaric acid', 'ethylenesuccinic acid', 'spirit of amber', 'succinate', 'succinic acid']"
DB00140,"['riboflavin', '1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2h)-yl)pentitol', '6,7-dimethyl-9-d-ribitylisoalloxazine', '7,8-dimethyl-10-(d-ribo-2,3,4,5-tetrahydroxypentyl)isoalloxazine', '7,8-dimethyl-10-ribitylisoalloxazine', 'lactoflavin', 'lactoflavine', 'riboflavin', 'riboflavina', 'riboflavine', 'riboflavinum', 'vitamin b2', 'vitamin bi', 'vitamin g']"
DB00141,"['n-acetylglucosamine', '2-acetamido-2-deoxy-d-glucose', 'aldehydo-n-acetyl-d-glucosamine', 'd-glcnac', 'n-acetyl-d-glucosamine', 'n-acetylchitosamine']"
DB00142,"['glutamic acid', '(2s)-2-aminopentanedioic acid', '(s)-2-aminopentanedioic acid', '(s)-glutamic acid', 'ácido glutámico', 'glu', 'glutamic acid', 'l-glutamate', 'l-glutamic acid', 'l-glutaminic acid']"
DB00143,"['glutathione', '5-l-glutamyl-l-cysteinylglycine', 'gamma-l-glutamyl-l-cysteinyl-glycine', 'glutathione', 'glutathione-sh', 'gsh', 'n-(n-gamma-l-glutamyl-l-cysteinyl)glycine', 'reduced glutathione']"
DB00144,"['phosphatidyl serine', 'phosphatidyl-l-serine', 'phosphatidylserine', 'ps', 'ptd-l-ser']"
DB00145,"['glycine', 'aminoacetic acid', 'aminoessigsäure', 'aminoethanoic acid', 'glicina', 'gly', 'glycin', 'glycine', 'glycocoll', 'glykokoll', 'glyzin', 'leimzucker']"
DB00146,"['calcifediol', '(3s,5z,7e)-9,10-secocholesta-5,7,10-triene-3,25-diol', '(3β,5z,7e)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol', '(5z,7e)-(3s)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol', '25-hydroxycholecalciferol', '25-hydroxyvitamin d3', 'calcidiol', 'calcifédiol', 'calcifediol', 'calcifediol anhydrous', 'calcifediolum']"
DB00147,"['pyridoxal', '2-methyl-3-hydroxy-4-formyl-5-hydroxymethylpyridine', '3-hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxaldehyde', '3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde', '3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxaldehyde', 'piridoxal', 'pyridoxaldehyde']"
DB00148,"['creatine', '((amino(imino)methyl)(methyl)amino)acetic acid', '(alpha-methylguanido)acetic acid', '(n-methylcarbamimidamido)acetic acid', '(α-methylguanido)acetic acid', 'alpha-methylguanidino acetic acid', 'creatin', 'creatine', 'kreatin', 'methylglycocyamine', 'n-(aminoiminomethyl)-n-methylglycine', 'n-amidinosarcosine', 'n-carbamimidoyl-n-methylglycine', 'n-methyl-n-guanylglycine']"
DB00149,"['l-leucine', '(2s)-2-amino-4-methylpentanoic acid', '(2s)-alpha-2-amino-4-methylvaleric acid', '(2s)-alpha-leucine', '(s)-(+)-leucine', '(s)-leucine', '2-amino-4-methylvaleric acid', 'l', 'l-leucin', 'l-leuzin', 'leu', 'leucine']"
DB00150,"['l-tryptophan', '(2s)-2-amino-3-(1h-indol-3-yl)propanoic acid', '(s)-alpha-amino-beta-(3-indolyl)-propionic acid', '(s)-tryptophan', '(s)-α-amino-1h-indole-3-propanoic acid', 'l-(-)-tryptophan', 'l-(−)-tryptophan', 'l-β-3-indolylalanine', 'trp', 'tryptophan', 'w']"
DB00151,"['l-cysteine', '(2r)-2-amino-3-mercaptopropanoic acid', '(2r)-2-amino-3-sulfanylpropanoic acid', '(r)-2-amino-3-mercaptopropanoic acid', 'cys', 'cysteine', 'free cysteine', 'l-2-amino-3-mercaptopropionic acid', 'l-cys', 'l-cystein', 'l-zystein']"
